sim_id,true_scaipw_rd,true_scaipw_se,true_sctmle_rd,true_sctmle_se,main_scaipw_rd,main_scaipw_se,main_sctmle_rd,main_sctmle_se
172,-0.10476470342502031,0.02397079309331115,-0.10481568269280517,0.023359189595621402,-0.08795856532386927,0.036611044113042106,-0.11231548735317659,0.03562366618991754
173,-0.1242324630017173,0.021508075119619344,-0.12244373261916816,0.02107101934243761,-0.068812703698877,0.040288107005401724,-0.12394591149111367,0.0319027762800896
174,-0.09368654936624851,0.02222830799657145,-0.09559508998181233,0.020891497745277942,-0.08964958619506676,0.038897623902554114,-0.12674925846944318,0.03434784902795986
175,-0.12332606742447907,0.0198921998945973,-0.12074267400102853,0.019569891870106586,-0.1329885969292483,0.045333467996257266,-0.14235958153987463,0.04451259733381451
176,-0.0570561839206646,0.04279463144977151,-0.09286294833746471,0.03849389346292085,-0.11171026693722036,0.03382414761049452,-0.13664257888934,0.033198682516397335
177,-0.14442407760540812,0.023374498817476462,-0.12552539094377188,0.021310540695447418,-0.2452472026513085,0.04974861593077316,-0.13278598671399822,0.03337856842993137
178,-0.13538896804631534,0.020087356965602626,-0.117813673698977,0.02020214989565244,-0.12081315947606394,0.020848648786009383,-0.1305368180808336,0.017830325097088328
179,-0.08309528159106755,0.0379814801271252,-0.05046048837438287,0.035054729731825864,-0.13130656662849802,0.020087258584417393,-0.13190123384238625,0.020123487815500687
180,-0.12761140630716025,0.021334024603180454,-0.11586881670113212,0.020718766986010134,-0.12352787385249185,0.040073417715885774,-0.1366218546710575,0.039517831131873904
181,-0.0697926434663073,0.03648096528865997,-0.09187916556991638,0.020393744784051454,-0.10554666181406662,0.020769870182593856,-0.12148467802913591,0.019247609675466446
182,-0.08588983461033005,0.031118291135102605,-0.10624701240000527,0.030131841851217277,-0.01820673376953932,0.0550739676045465,-0.1098402377575869,0.04620971847333014
183,-0.13907741245618027,0.02076221261102753,-0.14163437294692865,0.02080404012278439,-0.055522138986255964,0.0593915792206045,-0.16583153662768196,0.019024929420661578
184,-0.13015121327109563,0.0209262026384332,-0.11453781669259708,0.02053274128070371,-0.1590046810680442,0.020797422291434903,-0.14747836485179586,0.019711596084239412
185,-0.13519719551066253,0.018758290096584328,-0.12052423819945542,0.020988538998915878,-0.14564671280675284,0.02742615072605926,-0.12439399848977897,0.026154916991943274
186,-0.13232637763673688,0.021742842349902654,-0.13385314236065726,0.02137389558356683,-0.15432331680226954,0.020033085469580138,-0.16136893863316845,0.020872466166776984
187,-0.08936256010508761,0.021235568279995475,-0.090355758463866,0.02107969814036481,-0.09179323915376589,0.052250466975180286,-0.10782689019120892,0.052133639869272226
188,-0.09740092846876039,0.02036473680636843,-0.09776539966763452,0.018911367266852913,-0.1154410780198785,0.021260701471431123,-0.12502729692843773,0.019632485163314017
189,-0.1321894511838143,0.02204038409447617,-0.11613937698358158,0.022541072566881204,-0.09344310608804313,0.044845636069827305,-0.15394547584214024,0.037802642727860686
190,-0.11422039082259766,0.022476516782964383,-0.10463599791351964,0.020790305457143894,-0.11202373783199558,0.04838200129318262,-0.1280951333247571,0.04638674433567221
191,-0.05667012820087543,0.02427351814926688,-0.0780670314264534,0.024661636993864436,-0.10175384001452077,0.023643156446761855,-0.0920847296364492,0.02361443157812073
192,-0.12175872613379554,0.022514369581549,-0.11755528272271018,0.022333898982489536,-0.16198267250096315,0.03841881895420889,-0.13154513200373413,0.0241151016045855
193,-0.1564716712763518,0.020725259940627575,-0.13935655218905343,0.019909688101449524,-0.19657391484743267,0.02531534343215978,-0.15567046229677653,0.01714089733560637
194,-0.13559774126645943,0.020559692564063085,-0.13008966048764747,0.019799832336943476,-0.1344184933602861,0.01988521341113281,-0.1275917499017111,0.019057474226974444
195,-0.04859138285883123,0.028602277595684542,-0.05834533563920007,0.022596595905101737,-0.048105619779691036,0.036799245026615336,-0.09953994704233439,0.024206043474098445
196,-0.10962792432959804,0.02220880944734863,-0.08540080193654148,0.039985910957183055,-0.11268443370655151,0.01957759944058687,-0.10888716105150756,0.019698108045570786
197,-0.12336782470058819,0.02017671619109144,-0.12113112015470184,0.019858062951136488,-0.09893348171584805,0.04388012192429606,-0.13857061654878072,0.03719697688821995
