sim_id 724: ml_ate=-0.0749 ml_ey1=0.2425 ml_ey0=0.3174   [224 this run, 26.9s/dataset]
sim_id 725: ml_ate=-0.0873 ml_ey1=0.2388 ml_ey0=0.3262   [225 this run, 26.9s/dataset]
sim_id 726: ml_ate=-0.0726 ml_ey1=0.2644 ml_ey0=0.3370   [226 this run, 26.9s/dataset]
sim_id 727: ml_ate=-0.0544 ml_ey1=0.2749 ml_ey0=0.3293   [227 this run, 26.9s/dataset]
sim_id 728: ml_ate=-0.0538 ml_ey1=0.2623 ml_ey0=0.3161   [228 this run, 26.9s/dataset]
sim_id 729: ml_ate=-0.1317 ml_ey1=0.2155 ml_ey0=0.3472   [229 this run, 26.8s/dataset]
sim_id 730: ml_ate=-0.0870 ml_ey1=0.2610 ml_ey0=0.3480   [230 this run, 26.8s/dataset]
sim_id 731: ml_ate=-0.1076 ml_ey1=0.2201 ml_ey0=0.3277   [231 this run, 26.8s/dataset]
sim_id 732: ml_ate=-0.0941 ml_ey1=0.2429 ml_ey0=0.3370   [232 this run, 26.8s/dataset]
sim_id 733: ml_ate=-0.0664 ml_ey1=0.2635 ml_ey0=0.3299   [233 this run, 26.8s/dataset]
